xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
36,71,8,1,1,Driving Floating Bank Jump Shot,1.0,0.533,0
-154,225,27,1,1,Jump Shot,-4.0,0.314,0
-132,-29,14,0,1,Pullup Jump shot,2.0,0.467,0
184,186,26,0,1,Pullup Jump shot,-5.0,0.325,0
-4,29,3,1,1,Cutting Dunk Shot,-6.0,0.609,0
-26,86,9,0,1,Driving Floating Jump Shot,-7.0,0.41,0
-21,38,4,1,1,Hook Shot,-5.0,0.455,0
-47,115,12,0,1,Floating Jump shot,-5.0,0.467,0
0,0,0,0,1,Tip Layup Shot,7.0,0.609,0
-223,5,0,0,1,Jump Shot,-7.0,0.387,0
132,214,25,1,1,Pullup Jump shot,-7.0,0.387,0
-234,10,0,0,1,Jump Shot,7.0,0.319,0
143,216,26,0,1,Running Jump Shot,4.0,0.358,0
229,-6,0,1,1,Jump Shot,4.0,0.387,0
0,15,2,1,1,Driving Dunk Shot,4.0,0.444,0
-227,-11,0,1,1,Jump Shot,1.0,0.351,0
1,29,3,0,1,Driving Layup Shot,-3.0,0.562,0
2,15,2,1,1,Cutting Layup Shot,0.0,0.428,0
-5,104,10,1,1,Turnaround Fadeaway shot,1.0,0.444,0
-104,-28,11,1,1,Pullup Jump shot,0.0,0.469,0
-137,113,18,1,1,Jump Shot,-2.0,0.444,0
0,5,1,1,1,Driving Layup Shot,0.0,0.533,0
130,236,27,1,1,Pullup Jump shot,-1.0,0.363,0
-192,162,25,0,1,Step Back Jump shot,2.0,0.311,0
-232,7,0,0,1,Jump Shot,-1.0,0.299,0
-55,101,12,0,1,Fadeaway Jump Shot,-1.0,0.469,0
29,26,4,0,1,Running Layup Shot,1.0,0.37,0
-7,25,3,0,1,Dunk Shot,-1.0,0.609,0
12,17,2,1,1,Running Dunk Shot,1.0,0.562,0
81,145,17,0,1,Jump Shot,-1.0,0.52,0
6,18,2,0,1,Cutting Layup Shot,-1.0,0.562,0
-61,4,6,0,1,Hook Shot,1.0,0.609,0
43,154,16,0,1,Pullup Jump shot,-1.0,0.37,0
-31,148,15,0,1,Pullup Jump shot,1.0,0.52,0
17,32,4,0,1,Driving Layup Shot,-1.0,0.423,0
229,48,0,0,1,Running Jump Shot,-1.0,0.349,0
-19,14,2,0,1,Layup Shot,1.0,0.562,0
-58,-1,6,0,1,Jump Shot,-1.0,0.5,0
11,29,3,1,1,Layup Shot,-1.0,0.562,0
20,58,6,1,1,Driving Floating Jump Shot,1.0,0.526,0
196,168,26,0,1,Jump Shot,-3.0,0.299,0
5,22,2,1,1,Cutting Layup Shot,-1.0,0.463,0
-131,226,26,1,1,Jump Shot,-1.0,0.358,0
-22,60,6,1,1,Driving Floating Bank Jump Shot,-3.0,0.463,0
-16,27,3,1,1,Cutting Layup Shot,0.0,0.433,0
-185,209,28,1,1,Jump Shot,-2.0,0.314,0
-15,14,2,0,1,Driving Layup Shot,0.0,0.52,0
-232,31,0,1,1,Jump Shot,-3.0,0.299,0
232,25,0,1,1,Jump Shot,3.0,0.396,0
77,258,27,0,1,Pullup Jump shot,-6.0,0.314,0
-20,3,2,0,1,Driving Layup Shot,3.0,0.5,0
-51,206,21,1,1,Pullup Jump shot,-3.0,0.444,0
159,-12,16,0,1,Pullup Jump shot,3.0,0.469,0
154,220,27,1,1,Pullup Jump shot,-5.0,0.325,0
112,230,26,0,1,Jump Shot,5.0,0.393,0
13,125,13,0,1,Turnaround Jump Shot,-8.0,0.444,0
-6,13,1,1,1,Layup Shot,8.0,0.473,0
0,23,2,1,1,Layup Shot,-8.0,0.444,0
-186,168,25,0,1,Jump Shot,6.0,0.396,0
-157,217,27,0,1,Jump Shot,-8.0,0.319,0
-5,10,1,1,1,Running Dunk Shot,8.0,0.473,0
113,254,28,1,1,Pullup Jump shot,-8.0,0.325,0
22,142,14,1,1,Turnaround Jump Shot,6.0,0.473,0
142,210,25,1,1,Jump Shot,-9.0,0.325,0
1,11,1,1,1,Driving Layup Shot,7.0,0.5,0
-11,4,1,0,1,Driving Dunk Shot,-8.0,0.473,0
152,130,20,1,1,Pullup Jump shot,-9.0,0.444,0
-6,262,26,1,1,Pullup Jump shot,-11.0,0.387,0
1,16,2,1,1,Driving Layup Shot,-12.0,0.428,0
1,180,18,0,1,Pullup Jump shot,9.0,0.5,0
4,17,2,1,1,Dunk Shot,-11.0,0.455,0
-161,217,27,0,1,Running Jump Shot,13.0,0.325,0
-4,3,1,0,1,Driving Layup Shot,-12.0,0.444,0
5,44,4,0,1,Running Layup Shot,-12.0,0.5,0
5,26,3,1,1,Layup Shot,12.0,0.5,0
-10,22,2,1,1,Driving Floating Jump Shot,12.0,0.41,0
28,21,4,0,1,Driving Layup Shot,10.0,0.526,0
-225,-2,0,0,1,Jump Shot,-12.0,0.329,0
6,21,2,1,1,Driving Layup Shot,12.0,0.467,0
130,90,16,0,1,Pullup Jump shot,-9.0,0.467,0
-9,9,1,1,1,Driving Layup Shot,-10.0,0.41,0
