gameId,actionNumber,teamId,personId,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,location,actionType,subType,shotValue,actionId,scoreDiff,clutchFlag
0022400057,515,1610612759,1630577,J. Champagnie,-228,31,0,0,1,0,0,v,Missed Shot,Jump Shot,3,371,-7.0,0
0022400074,520,1610612759,1630577,J. Champagnie,-230,0,0,0,1,0,0,v,Missed Shot,Jump Shot,3,371,-8.0,0
0022400173,507,1610612745,1642263,R. Sheppard,0,0,0,1,1,109,83,h,Made Shot,Tip Layup Shot,2,371,24.0,0
0022400183,526,1610612757,1631101,S. Sharpe,1,4,0,1,1,99,90,v,Made Shot,Driving Bank Hook Shot,2,371,0.0,0
0022400370,509,1610612737,1630552,J. Johnson,-1,26,3,1,1,80,80,v,Made Shot,Running Dunk Shot,2,371,0.0,0
0022400394,514,1610612759,1629640,K. Johnson,227,68,24,0,1,0,0,v,Missed Shot,Jump Shot,3,371,0.0,0
0022400405,502,1610612759,1630577,J. Champagnie,-221,-12,0,1,1,88,90,v,Made Shot,Jump Shot,3,371,0.0,0
0022400441,518,1610612759,1641705,V. Wembanyama,22,270,27,0,1,0,0,v,Missed Shot,Running Pull-Up Jump Shot,3,371,0.0,0
0022400498,495,1610612759,1642264,S. Castle,2,8,1,1,1,82,97,v,Made Shot,Alley Oop Dunk Shot,2,371,10.0,0
0022400516,498,1610612759,203084,H. Barnes,232,-8,0,0,1,0,0,v,Missed Shot,Jump Shot,3,371,-13.0,0
0022400592,505,1610612748,1629639,T. Herro,-42,55,7,1,1,105,86,h,Made Shot,Driving Floating Bank Jump Shot,2,371,17.0,0
0022400684,514,1610612759,1641705,V. Wembanyama,-66,620,62,0,1,0,0,h,Missed Shot,Pullup Jump shot,3,371,13.0,0
0022400743,500,1610612759,1642264,S. Castle,4,74,7,0,1,0,0,v,Missed Shot,Driving Floating Jump Shot,2,371,0.0,0
0022400757,521,1610612764,1642267,B. Carrington,54,251,26,0,1,0,0,h,Missed Shot,Pullup Jump shot,3,371,0.0,0
0022400871,534,1610612759,1630170,D. Vassell,7,29,3,1,1,105,108,h,Made Shot,Driving Floating Bank Jump Shot,2,371,0.0,0
0022400888,522,1610612759,1629640,K. Johnson,-1,9,1,1,1,101,80,h,Made Shot,Driving Dunk Shot,2,371,19.0,0
0022401018,522,1610612755,1627824,G. Yabusele,1,70,7,1,1,102,108,v,Made Shot,Driving Hook Shot,2,371,4.0,0
